date,value
07/01/15,94
07/02/15,44
07/03/15,33
07/04/15,34
07/05/15,42
07/06/15,45
07/07/15,85
07/08/15,6
07/09/15,74
07/10/15,66
07/11/15,32
07/12/15,75
07/13/15,57
07/14/15,31
07/15/15,15
07/16/15,52
07/17/15,8
07/18/15,98
07/19/15,14
07/20/15,64
07/21/15,79
07/22/15,63
07/23/15,69
07/24/15,13
07/25/15,30
07/26/15,101
07/27/15,56
07/28/15,26
07/29/15,41
07/30/15,52
07/31/15,72
08/01/15,47
08/02/15,70
08/03/15,96
08/04/15,85
08/05/15,69
08/06/15,92
08/07/15,10
08/08/15,61
08/09/15,25
08/10/15,47
08/11/15,43
08/12/15,64
08/13/15,77
08/14/15,95
08/15/15,96
08/16/15,18
08/17/15,98
08/18/15,75
08/19/15,19
08/20/15,5
08/21/15,63
08/22/15,11
08/23/15,20
08/24/15,23
08/25/15,50
08/26/15,97
08/27/15,63
08/28/15,67
08/29/15,96
08/30/15,69
08/31/15,100
09/01/15,48
09/02/15,98
09/03/15,57
09/04/15,86
09/05/15,76
09/06/15,3
09/07/15,81
09/08/15,77
09/09/15,64
09/10/15,97
09/11/15,16
09/12/15,9
09/13/15,49
09/14/15,67
09/15/15,4
09/16/15,42
09/17/15,52
09/18/15,24
09/19/15,54
09/20/15,43
09/21/15,36
09/22/15,48
09/23/15,19
09/24/15,20
09/25/15,94
09/26/15,16
09/27/15,6
09/28/15,61
09/29/15,47
09/30/15,2
10/01/15,53
10/02/15,72
10/03/15,74
10/04/15,9
10/05/15,79
10/06/15,29
10/07/15,42
10/08/15,24
10/09/15,20
10/10/15,71
10/11/15,53
10/12/15,51
10/13/15,28
10/14/15,62
10/15/15,82
10/16/15,79
10/17/15,51
10/18/15,87
10/19/15,23
10/20/15,0
10/21/15,37
10/22/15,19
10/23/15,87
10/24/15,63
10/25/15,13
10/26/15,10
10/27/15,33
10/28/15,67
10/29/15,10
10/30/15,73
10/31/15,61
11/01/15,32
11/02/15,99
11/03/15,8
11/04/15,70
11/05/15,83
11/06/15,22
11/07/15,68
11/08/15,79
11/09/15,42
11/10/15,14
11/11/15,13
11/12/15,7
11/13/15,32
11/14/15,75
11/15/15,92
11/16/15,59
11/17/15,32
11/18/15,81
11/19/15,57
11/20/15,40
11/21/15,71
11/22/15,53
11/23/15,26
11/24/15,46
11/25/15,53
11/26/15,73
11/27/15,50
11/28/15,54
11/29/15,80
11/30/15,87
12/01/15,39
12/02/15,89
12/03/15,39
12/04/15,48
12/05/15,100
12/06/15,75
12/07/15,74
12/08/15,3
12/09/15,81
12/10/15,54
12/11/15,41
12/12/15,94
12/13/15,55
12/14/15,82
12/15/15,77
12/16/15,75
12/17/15,29
12/18/15,65
12/19/15,66
12/20/15,88
12/21/15,37
12/22/15,25
12/23/15,9
12/24/15,92
12/25/15,33
12/26/15,53
12/27/15,76
12/28/15,67
12/29/15,53
12/30/15,10
12/31/15,59
01/01/16,65
01/02/16,38
01/03/16,19
01/04/16,74
01/05/16,48
01/06/16,28
01/07/16,89
01/08/16,85
01/09/16,56
01/10/16,90
01/11/16,97
01/12/16,82
01/13/16,44
01/14/16,74
01/15/16,93
01/16/16,70
01/17/16,75
01/18/16,33
01/19/16,49
01/20/16,10
01/21/16,0
01/22/16,35
01/23/16,72
01/24/16,97
01/25/16,97
01/26/16,33
01/27/16,88
01/28/16,42
01/29/16,98
01/30/16,63
01/31/16,11
02/01/16,53
02/02/16,46
02/03/16,82
02/04/16,80
02/05/16,10
02/06/16,31
02/07/16,56
02/08/16,35
02/09/16,38
02/10/16,37
02/11/16,47
02/12/16,82
02/13/16,4
02/14/16,55
02/15/16,90
02/16/16,49
02/17/16,16
02/18/16,99
02/19/16,18
02/20/16,23
02/21/16,101
02/22/16,56
02/23/16,83
02/24/16,22
02/25/16,3
02/26/16,85
02/27/16,43
02/28/16,21
02/29/16,49
03/01/16,78
03/02/16,40
03/03/16,14
03/04/16,35
03/05/16,40
03/06/16,31
03/07/16,42
03/08/16,13
03/09/16,37
03/10/16,10
03/11/16,22
03/12/16,51
03/13/16,97
03/14/16,85
03/15/16,39
03/16/16,30
03/17/16,68
03/18/16,27
03/19/16,57
03/20/16,28
03/21/16,96
03/22/16,81
03/23/16,11
03/24/16,24
03/25/16,75
03/26/16,3
03/27/16,44
03/28/16,83
03/29/16,83
03/30/16,34
03/31/16,5
04/01/16,82
04/02/16,81
04/03/16,85
04/04/16,101
04/05/16,36
04/06/16,71
04/07/16,78
04/08/16,55
04/09/16,55
04/10/16,14
04/11/16,80
04/12/16,36
04/13/16,73
04/14/16,2
04/15/16,7
04/16/16,22
04/17/16,93
04/18/16,9
04/19/16,44
04/20/16,68
04/21/16,32
04/22/16,3
04/23/16,71
04/24/16,94
04/25/16,8
04/26/16,75
04/27/16,60
04/28/16,56
04/29/16,46
04/30/16,41
05/01/16,30
05/02/16,32
05/03/16,98
05/04/16,96
05/05/16,69
05/06/16,79
05/07/16,29
05/08/16,50
05/09/16,68
05/10/16,9
05/11/16,19
05/12/16,72
05/13/16,11
05/14/16,58
05/15/16,6
05/16/16,0
05/17/16,3
05/18/16,11
05/19/16,66
05/20/16,60
05/21/16,25
05/22/16,6
05/23/16,97
05/24/16,91
05/25/16,98
05/26/16,101
05/27/16,32
05/28/16,90
05/29/16,37
05/30/16,14
05/31/16,55
06/01/16,79
06/02/16,45
06/03/16,59
06/04/16,17
06/05/16,69
06/06/16,70
06/07/16,75
06/08/16,78
06/09/16,80
06/10/16,80
06/11/16,59
06/12/16,47
06/13/16,5
06/14/16,31
06/15/16,83
06/16/16,91
06/17/16,89
06/18/16,21
06/19/16,9
06/20/16,46
06/21/16,84
06/22/16,91
06/23/16,61
06/24/16,66
06/25/16,88
06/26/16,65
06/27/16,44
06/28/16,2
06/29/16,1
06/30/16,98
07/01/16,84
07/02/16,74
07/03/16,100
07/04/16,57
07/05/16,23
07/06/16,4
07/07/16,11
07/08/16,82
07/09/16,48
07/10/16,26
07/11/16,97
07/12/16,80
07/13/16,29
07/14/16,83
07/15/16,91
07/16/16,40
07/17/16,96
07/18/16,44
07/19/16,90
07/20/16,35
07/21/16,99
07/22/16,37
07/23/16,33
07/24/16,46
07/25/16,76
07/26/16,84
07/27/16,30
07/28/16,68
07/29/16,44
07/30/16,70
07/31/16,74
08/01/16,73
08/02/16,43
08/03/16,38
08/04/16,43
08/05/16,72
08/06/16,85
08/07/16,81
08/08/16,54
08/09/16,66
08/10/16,33
08/11/16,48
08/12/16,97
08/13/16,30
08/14/16,96
08/15/16,22
08/16/16,83
08/17/16,81
08/18/16,80
08/19/16,41
08/20/16,14
08/21/16,53
08/22/16,33
08/23/16,39
08/24/16,37
08/25/16,43
08/26/16,48
08/27/16,17
08/28/16,26
08/29/16,59
08/30/16,19
08/31/16,7
09/01/16,21
09/02/16,19
09/03/16,54
09/04/16,50
09/05/16,1
09/06/16,101
09/07/16,92
09/08/16,0
09/09/16,80
09/10/16,22
09/11/16,100
09/12/16,86
09/13/16,11
09/14/16,67
09/15/16,44
09/16/16,96
09/17/16,7
09/18/16,78
09/19/16,2
09/20/16,82
09/21/16,40
09/22/16,24
09/23/16,43
09/24/16,25
09/25/16,15
09/26/16,32
09/27/16,8
09/28/16,1
09/29/16,45
09/30/16,93
10/01/16,9
10/02/16,21
10/03/16,55
10/04/16,39
10/05/16,75
10/06/16,77
10/07/16,40
10/08/16,28
10/09/16,70
10/10/16,25
10/11/16,100
10/12/16,80
10/13/16,90
10/14/16,8
10/15/16,81
10/16/16,15
10/17/16,18
10/18/16,43
10/19/16,89
10/20/16,82
10/21/16,33
10/22/16,49
10/23/16,99
10/24/16,15
10/25/16,8
10/26/16,92
10/27/16,19
10/28/16,14
10/29/16,3
10/30/16,30
10/31/16,82
11/01/16,100
11/02/16,86
11/03/16,37
11/04/16,18
11/05/16,75
11/06/16,85
11/07/16,11
11/08/16,44
11/09/16,17
11/10/16,47
11/11/16,24
11/12/16,75
11/13/16,19
11/14/16,10
11/15/16,62
11/16/16,87
11/17/16,5
11/18/16,29
11/19/16,23
11/20/16,86
11/21/16,56
11/22/16,15
11/23/16,89
11/24/16,43
11/25/16,31
11/26/16,33
11/27/16,87
11/28/16,40
11/29/16,45
11/30/16,72
12/01/16,4
12/02/16,4
12/03/16,12
12/04/16,3
12/05/16,37
12/06/16,73
12/07/16,16
12/08/16,64
12/09/16,33
12/10/16,89
12/11/16,101
12/12/16,33
12/13/16,94
12/14/16,54
12/15/16,11
12/16/16,26
12/17/16,76
12/18/16,9
12/19/16,3
12/20/16,86
12/21/16,48
12/22/16,9
12/23/16,30
12/24/16,76
12/25/16,4
12/26/16,10
12/27/16,44
12/28/16,4
12/29/16,67
12/30/16,40
12/31/16,4
01/01/17,35
01/02/17,90
01/03/17,80
01/04/17,4
01/05/17,1
01/06/17,93
01/07/17,85
01/08/17,10
01/09/17,74
01/10/17,32
01/11/17,0
01/12/17,7
01/13/17,18
01/14/17,32
01/15/17,77
01/16/17,63
01/17/17,25
01/18/17,12
01/19/17,69
01/20/17,33
01/21/17,62
01/22/17,37
01/23/17,17
01/24/17,85
01/25/17,5
01/26/17,25
01/27/17,30
01/28/17,48
01/29/17,0
01/30/17,70
01/31/17,9
02/01/17,29
02/02/17,47
02/03/17,43
02/04/17,21
02/05/17,100
02/06/17,31
02/07/17,0
02/08/17,10
02/09/17,37
02/10/17,61
02/11/17,2
02/12/17,28
02/13/17,86
02/14/17,48
02/15/17,77
02/16/17,64
02/17/17,40
02/18/17,62
02/19/17,20
02/20/17,26
02/21/17,101
02/22/17,24
02/23/17,3
